시설명,소재지도로명주소,소재지지번주소,운영기관명,전화번호,급식장소,급식대상,급식시간,급식요일,운영시작일자,운영종료일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
월평종합사회복지관,대전광역시 서구 월평북로 11,대전광역시 서구 월평동 218,월평종합사회복지관,042-484-6181,월평종합사회복지관,만 60세 이상 노인,11:40~11:50,매일,2020-02-24,2021-02-24,36.3634867463,127.3700705201,2020-07-14,6300000,대전광역시
둔산종합사회복지관,대전광역시 서구 둔산로 241,대전광역시 서구 둔산동 1812,둔산종합사회복지관,042-482-2032,둔산종합사회복지관,만 60세 이상 노인,10:50~11:10,매일,2020-02-24,2021-02-24,36.3519669172,127.4011071147,2020-07-14,6300000,대전광역시
유성구노인복지관,대전광역시 유성구 가정로 15,대전광역시 유성구 신성동 372,유성구노인복지관,042-862-4634,유성구노인복지관,만 60세 이상 노인,10:00~12:00,매일,2020-02-12,2021-02-12,36.3845474836,127.3440235731,2020-07-14,6300000,대전광역시
송강사회복지관,대전광역시 유성구 봉산로 45,대전광역시 유성구 송강동 10,송강사회복지관,042-934-6338,송강사회복지관,만 60세 이상 노인,11:30~12:30,매일,2020-02-10,2021-02-10,36.4372159505,127.3851195923,2020-07-14,6300000,대전광역시
대덕종합사회복지관,대전광역시 대덕구 덕암로 234번길 44,대전광역시 대덕구 덕암동 48-2,대덕종합사회복지관,042-936-7343,대덕종합사회복지관,만 60세 이상 노인,10:00~14:00,매일,2020-02-24,2021-02-24,36.4401859405,127.4265437478,2020-07-14,6300000,대전광역시
대덕구노인종합복지관,대전광역시 대덕구 계족로 740번길 80,대전광역시 대덕구 읍내동 517-14,대덕구노인종합복지관,042-627-0767,대덕구노인종합복지관,만 60세 이상 노인,10:00~14:00,매일,2020-02-10,2021-02-10,36.3782583557,127.4314387090,2020-07-14,6300000,대전광역시
한꽃노인복지센터,광주광역시 동구 서석로 85번길 8-12,광주광역시 동구 대의동 32,한꽃노인복지센터,062-234-2732,한꽃노인복지센터,"독거노인, 결식노인, 저소득어르신 등",중식(12:00-13:00),월～금,2017-01-01,,35.150012,126.920655,2019-06-19,6290000,광주광역시
대해노인복지센터,광주광역시 동구 남문로 622번길 11-20,광주광역시 동구 소태동 532-88,대해노인복지센터,062-234-2213,대해노인복지센터,"독거노인, 결식노인, 저소득어르신 등",중식(12:00-13:00),월～금,2017-01-01,,35.127727,126.932377,2019-06-19,6290000,광주광역시
계림교회,광주광역시 동구 계림로 34-4(계림동),광주광역시 동구 계림동 202-2,계림교회,062-224-8861,계림교회,"독거노인, 결식노인, 저소득어르신 등",중식(12:00-13:00),월～토,2017-01-01,,35.1566695341,126.923427659,2019-06-19,6290000,광주광역시
빛고을종합사회복지관,광주광역시 동구 천변좌로 656(용산동),광주광역시 동구 용산동 산3,빛고을종합사회복지관,062-234-4563,빛고을종합사회복지관,"독거노인, 결식노인, 저소득어르신 등",중식(12:00-13:00),월～금,2017-01-01,,35.125635,126.929597,2019-06-19,6290000,광주광역시
동구노인복지관,광주광역시 동구 동명로20번길 10(동명동),광주광역시 동구 동명동 154-26,동구노인복지관,062-232-4953,동구노인복지관,"독거노인, 결식노인, 저소득어르신 등",중식(12:00-13:00),월～토,2017-01-01,,35.150486,126.924379,2019-06-19,6290000,광주광역시
광산구더불어락노인복지관,광주광역시 광산구 목련로 156(운남동),광주광역시 광산구 운남동 799-1,광산구더불어락노인복지관,062-959-9004,광산구더불어락노인복지관,"독거노인, 결식노인, 저소득어르신 등",중식(11:30~12:30),월~토,2017-01-01,,35.170681,126.816421,2019-06-19,6290000,광주광역시
중앙장로교회,광주광역시 북구 우치로 219,광주광역시 북구 오치동 865-14,중앙장로교회,062-265-1389,중앙장로교회,"독거노인, 결식노인, 저소득어르신 등",중식(12:00-13:00),월~금,2017-01-01,,35.1844884,126.9057200,2019-06-19,6290000,광주광역시
광주중앙교회,광주광역시 북구 북문대로 70(운암동),광주광역시 북구 운암동 65-6,광주중앙교회,062-523-9419,광주중앙교회,"독거노인, 결식노인, 저소득어르신 등",중식(12:00-13:00),월~금,2017-01-01,,35.177287,126.878969,2019-06-19,6290000,광주광역시
예은교회,광주광역시 북구 군왕로 168번길 50(두암동),광주광역시 북구 두암동 54-5,예은교회,062-263-8004,예은교회,"독거노인, 결식노인, 저소득어르신 등",중식(12:00-13:00),월~금,2017-01-01,,35.175493,126.936331,2019-06-19,6290000,광주광역시
동암교회,광주광역시 북구 동운로 213번길 22(운암동),광주광역시 북구 운암동 865,동암교회,062-513-7620,동암교회,"독거노인, 결식노인, 저소득어르신 등",중식(12:00-13:00),월~토,2017-01-01,,35.175125,126.8738698,2019-06-19,6290000,광주광역시
태봉노인복지관,광주광역시 북구 서암대로 130,광주광역시 북구 신안동 232-45,태봉노인복지관,062-266-7727,태봉노인복지관,"독거노인, 결식노인, 저소득어르신 등",중식(12:00-13:00),월~금,2017-01-01,,35.169861,126.898512,2019-06-19,6290000,광주광역시
참사랑복지회,인천광역시 미추홀구 구월로37번길 30(주안동),인천광역시 미추홀구 주안동 1593-8,참사랑복지회,032-422-4411,참사랑복지회,60세이상 저소득 결식우려노인,중식(11:00-12:00),"화,목,토",2009-07-19,,37.4588806,126.6924042,2018-08-28,3510500,인천광역시 미추홀구
유린원광종합사회복지관,서울특별시 중랑구 신내로 56,서울특별시 중랑구 신내동 572-2,사회복지법인유린보은동산,02-438-4011,유린원광종합사회복지관,만 60세 이상 결식 우려 저소득 어르신,11:30~12:30,주 5회(월~금),2017-02-04,,37.6043963596,127.0959749578,2019-09-19,3060000,서울특별시 중랑구
구립신내노인종합복지관,서울특별시 중랑구 신내로 15길 175,서울특별시 중랑구 신내동 771-1,영안 복지재단,02-3421-4800,구립신내노인종합복지관,만 60세 이상 결식 우려 저소득 어르신,11:30~13:00,주 6회(월~토),2017-04-09,,37.6148108851,127.0878877553,2019-09-19,3060000,서울특별시 중랑구
구립중화경로복지관,서울특별시 중랑구 동일로 138길 28,서울특별시 중랑구 중화동 37-4,사회복지법인자광재단,02-436-1390,구립중화경로복지관,만 60세 이상 결식 우려 저소득 어르신,11:00~12:00,주 5회(월~금),2017-04-09,,37.6033046713,127.0811519470,2019-09-19,3060000,서울특별시 중랑구
광명시노인종합복지관 경로식당,경기도 광명시 소하로 25,경기도 광명시 소하동 1291,광명시노인종합복지관,02-2625-9344,광명시노인종합복지관 경로식당,저소득 및 결식노인,11:30~14:00,월~토,,,37.4521539,126.8849611,2019-09-09,3900000,경기도 광명시
광명종합사회복지관 경로식당,경기도 광명시 오리로 1018,경기도 광명시 광명4동 158-970,광명종합사회복지관,02-2687-2921,광명종합사회복지관 경로식당,저소득 및 결식노인,11:30~13:00,월~토,,,37.4808472,126.8504556,2019-09-09,3900000,경기도 광명시
광명시노인종합복지관 경로식당,경기도 광명시 소하로 25,경기도 광명시 소하동 1291,광명시노인종합복지관,02-2625-9344,광명시노인종합복지관 경로식당,저소득 및 결식노인,중식(11:30~14:00),월~토,,,37.4521539,126.8849611,2019-09-09,3900000,경기도 광명시
하안종합사회복지관 경로식당,경기도 광명시 하안로 238,경기도 광명시 하안3동 200,하안종합사회복지관,02-894-0720,하안종합사회복지관 경로식당,저소득 및 결식노인,중식(11:30~13:00),월~토,,,37.4589998,126.8846907,2019-09-09,3900000,경기도 광명시
광명종합사회복지관 경로식당,경기도 광명시 오리로 1018,경기도 광명시 광명4동 158-970,광명종합사회복지관,02-2687-2921,광명종합사회복지관 경로식당,저소득 및 결식노인,중식(11:30~13:00),월~토,,,37.4808472,126.8504556,2019-09-09,3900000,경기도 광명시
소하2동 복지회관 경로식당,경기도 광명시 설월로 10,경기도 광명시 소하2동 324-2,소하2동 복지회관,02-899-8896,소하2동 복지회관 경로식당,저소득 및 결식노인,11:40~13:00,월~토,,,37.4402374,126.8778477,2019-09-09,3900000,경기도 광명시
하안종합사회복지관 경로식당,경기도 광명시 하안로 238,경기도 광명시 하안3동 200,하안종합사회복지관,02-894-0720,하안종합사회복지관 경로식당,저소득 및 결식노인,11:30~13:00,월~토,,,37.4589998,126.8846907,2019-09-09,3900000,경기도 광명시
철산종합사회복지관 경로식당,경기도 광명시 연서일로 4-3,경기도 광명시 철산2동 158,철산종합사회복지관,02-2617-0410,철산종합사회복지관 경로식당,저소득 및 결식노인,중식(11:30~13:00),월~토,,,37.4830403,126.8655483,2019-09-09,3900000,경기도 광명시
소하2동 복지회관 경로식당,경기도 광명시 설월로 10,경기도 광명시 소하2동 324-2,소하2동 복지회관,02-899-8896,소하2동 복지회관 경로식당,저소득 및 결식노인,중식(11:40~13:00),월~토,,,37.4402374,126.8778477,2019-09-09,3900000,경기도 광명시
강진군대한노인회강진군지회 경로식당,전라남도 강진군 강진읍 향교로 115,,강진군대한노인회강진군지회,061-434-5964,경로식당,65세이상 경로당 이용어르신,12:00,월~토,,,34.6490272566,126.7726566893,2019-09-09,4920000,전라남도 강진군
임계중앙교회,강원도 정선군 임계면 송계10길 17,강원도 정선군 임계면 송계리 659-1,임계중앙교회,033-563-1194,교회내급식소,결식이우려되는어르신,12:00-13:00,목요일(주1회),2019-03-01,2019-12-31,37.498596,128.851984,2019-06-30,4290000,강원도 정선군
나전중앙교회,강원도 정선군 북평면 북평8길 28-42,강원도 정선군 북평면 북평리 204-19,북평면복지회관,033-563-4891,교회내급식소,결식이우려되는어르신,12:00-13:00,화요일(주1회),2019-03-01,2019-12-31,37.448789,128.669794,2019-06-30,4290000,강원도 정선군
아우라지교회,강원도 정선군 여량면 여량3길 27,,아우라지교회,033-562-6553,교회내급식소,결식이우려되는어르신,12:00-13:00,수요일(주1회),2019-03-01,2019-12-31,37.472684,128.721811,2019-06-30,4290000,강원도 정선군
봉정교회,강원도 정선군 여량면 봉정안길 124,강원도 정선군 여량면 봉정리 212-3,봉정교회,033-562-6553,교회내급식소,결식이우려되는어르신,12:00-13:00,수요일(주1회),2019-03-01,2019-12-31,37.449227,128.776129,2019-06-30,4290000,강원도 정선군
남면복지회관,강원도 정선군 남면 칠현로 80,강원도 정선군 남면 문곡리 103-1,문곡1리새마을부녀회,033-560-2656,복지회관내급식소,결식이우려되는어르신,12:00-13:00,금요일(주1회),2019-03-01,2019-12-31,37.268535,128.740532,2019-06-30,4290000,강원도 정선군
조동종합복지회관,강원도 정선군 신동읍 새골길30,강원도 정선군 신동읍 조동리 216-1,신동읍여성단체협의회,033-560-2636,복지회관내급식소,결식이우려되는어르신,12:00-13:00,수요일(주1회),2019-03-01,2019-12-31,37.218009,128.671271,2019-06-30,4290000,강원도 정선군
사단법인 가야불교문화원,경상남도 김해시 흥동로 179 (흥동),경상남도 김해시 흥동 7-5,(사)가야불교문화원,055-322-0088,가야불교문화원,65세이상 저소득 결식우려 노인,중식(11:00~13:00),월+화+수+목+금,2017-01-01,,35.22269336,128.8683654,2020-09-22,5350000,경상남도 김해시
생림면복지회관 무료경로식당,경상남도 김해시 생림면 봉림로 34-10,경상남도 김해시 생림면 봉림리 648,생림면자원봉사회,055-330-8723,생림면복지회관,65세이상 저소득 결식우려 노인,중식(11:00~13:00),수,2017-01-01,,35.32773042,128.8495091,2020-09-22,5350000,경상남도 김해시
길손의쉼터 무료경로식당,경상남도 김해시 삼안로291번길 47-15(삼방동),경상남도 김해시 삼방동 685-18,(사)길손의쉼터,055-331-1526,길손의 쉼터,65세이상 저소득 결식우려 노인,중식(11:00~13:00),월+수+금,2017-01-01,,35.24813647,128.9082845,2020-09-22,5350000,경상남도 김해시
활천노인대학 무료경로식당,경상남도 김해시 활천로 294(삼방동),경상남도 김해시 삼방동 194-3,사)활천제일노인대학한국노인대학복지협의회,055-337-4321,활천제일교회,65세이상 저소득 결식우려 노인,중식(11:00~13:00),목+일,2017-01-01,,35.24314054,128.9115882,2020-09-22,5350000,경상남도 김해시
장애인복지관 무료경로식당,경상남도 김해시 인제로 258(삼방동),경상남도 김해시 삼방동 572-1,김해시장애인단체연합회,055-335-7970,장애인복지관,65세이상 저소득 결식우려 노인,중식(11:00~13:00),월+화+수+목+금,2017-01-01,,35.25141404,128.9036525,2020-09-22,5350000,경상남도 김해시
김해시구산사회복지관 무료경로식당,경상남도 김해시 가락로 222(구산동),경상남도 김해시 구산동 321,김해시복지재단,055-310-8474,김해시구산사회복지관,65세이상 저소득 결식우려 노인,중식(11:00~13:00),월+화+수+목+금,2017-01-01,,35.24661206,128.8768354,2020-09-22,5350000,경상남도 김해시
김해종합사회복지관 무료경로식당,경상남도 김해시 분성로 227(외동),경상남도 김해시 외동 1261-3,김해시종합사회복지관(인제대학교),055-329-6336,김해시종합사회복지관,65세이상 저소득 결식우려 노인,중식(11:00~13:00),월+화+수+목+금+토,2017-01-01,,35.23243378,128.8705459,2020-09-22,5350000,경상남도 김해시
사북종합복지회관,강원도 정선군 사북읍 사북중앙로72,강원도 정선군 사북읍사북리 356-20,사북여성단체협의회,033-592-3919,교회내급식소,결식이우려되는어르신,12:00-13:00,화요일(주1회),2019-03-01,2019-12-31,37.227761,128.815725,2019-06-30,4290000,강원도 정선군
고한중앙교회,강원도 정선군 고한읍 고한9길 56,강원도 정선군 고한읍 고한리 63-41,고한중앙교회,033-591-2736,교회내급식소,결식이우려되는어르신,12:00-13:00,목요일(주1회),2019-03-01,2019-12-31,37.198244,128.857198,2019-06-30,4290000,강원도 정선군
천안성정종합사회복지관,충청남도 천안시 서북구 쌍용대로 289-25,충청남도 천안시 서북구 성정동 787,천안성정종합사회복지관,041-578-5172,천안성정종합사회복지관,독거노인,12:00~13:00,"월,화,수,목,금",2018-01-01,2018-12-31,36.8233264489,127.1338979280,2019-09-27,4490000,충청남도 천안시
언양경로식당,울산광역시 울주군 언양읍 장터1길 5,,보강재가노인지원서비스센터,052-211-0570,중앙경로당,가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 60세 이상 노인,중식(12:00~13:00),월~금(5일),,,35.563965,129.1250992851,2020-08-04,6310000,울산광역시
삼동경로식당,울산광역시 울주군 삼동면 사촌길 2,,삼동면경로식당운영협의회,052-264-1045,삼동경로당,가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 60세 이상 노인,중식(11:40~12:30),월~금(5일),,,35.52222582,129.1570296,2020-08-04,6310000,울산광역시
온산경로식당,울산광역시 울주군 온산읍 신온1길 3-12,,온산여성자원봉사회,052-238-8766,덕신경로당,가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 60세 이상 노인,중식(12:00~13:00),월~금(5일),,,35.432829,129.3117430358,2020-08-04,6310000,울산광역시
사랑나눔과섬김이,울산광역시 울주군 범서읍 점촌5길 42,,사랑나눔과섬김이,052-221-1331,사랑나눔과섬김이,가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 60세 이상 노인,중식(11:30~12:30),"화,수,목(3일)",,,35.570205,129.238723,2020-08-04,6310000,울산광역시
밥차려요,울산광역시 울주군 범서읍 천상3길 7,,(사)이친구사랑나누기,052-224-1100,밥차려요,가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 60세 이상 노인,중식(11:40~12:30),월~금(5일),,,35.563631,129.2276324510,2020-08-04,6310000,울산광역시
원덕읍행정복지센터,강원도 삼척시 원덕읍 삼척로 440,강원도 삼척시 원덕읍 호산리 240,삼척시,033-572-6011,원덕읍행정복지센터,관내 65세 이상 노인,12시,주3회,2020-01-01,,37.17638656,129.3360673,2020-08-03,4240000,강원도 삼척시
근덕면행정복지센터,강원도 삼척시 근덕면 삼척로 3639,강원도 삼척시 근덕면 교가리 661-1,삼척시,033-572-3700,근덕면행정복지센터,관내 65세 이상 노인,12시,주3회,2020-01-01,,37.37914295,129.2257493,2020-08-03,4240000,강원도 삼척시
미로면행정복지센터,강원도 삼척시 미로면 적병길 8,강원도 삼척시 미로면 하거노리 215-1,삼척시,033-572-0016,미로면행정복지센터,관내 65세 이상 노인,12시,주3회,2020-01-01,,37.41814966,129.1126711,2020-08-03,4240000,강원도 삼척시
노곡면행정복지센터,강원도 삼척시 노곡면 미근로 886,강원도 삼척시 노곡면 하월산리 168-1,삼척시,033-572-8012,노곡면행정복지센터,관내 65세 이상 노인,12시,주3회,2020-01-01,,37.34805967,129.1638481,2020-08-03,4240000,강원도 삼척시
신기면행정복지센터,강원도 삼척시 신기면 신기길 15,강원도 삼척시 신기면 신기리 271,삼척시,033-541-1800,신기면행정복지센터,관내 65세 이상 노인,12시,주3회,2020-01-01,,37.34945618,129.0832778,2020-08-03,4240000,강원도 삼척시
가곡면행정복지센터,강원도 삼척시 가곡면 가곡천로 1477,강원도 삼척시 가곡면 오저리 17-5,삼척시,033-572-7412,가곡면행정복지센터,관내 65세 이상 노인,12시,주3회,2020-01-01,,37.14963848,129.2050241,2020-08-03,4240000,강원도 삼척시
교동행정복지센터,강원도 삼척시 대학로 88-14,강원도 삼척시 교동 657-1,삼척시,033-572-2023,교동행정복지센터,관내 65세 이상 노인,12시,주3회,2020-01-01,,37.447936,129.1646074,2020-08-03,4240000,강원도 삼척시
정라동 참좋은교회,강원도 삼척시 동해대로 4032,강원도 삼척시 정상동 310,삼척시,033-575-0161,정라동 참좋은교회,관내 65세 이상 노인,12시,주3회,2020-01-01,,37.44127327,129.178711,2020-08-03,4240000,강원도 삼척시
삼척시 종합사회복지관,강원도 삼척시 원당로2길 72-6,강원도 삼척시 원당동 170,삼척시,033-573-6168,삼척시 종합사회복지관,관내 65세 이상 노인,12시,주3회,2020-01-01,,37.43740511,129.1528622,2020-08-03,4240000,강원도 삼척시
남양동 동부교회,강원도 삼척시 사대길 10,강원도 삼척시 남양동 14-11,삼척시,033-573-0691,남양동 동부교회,관내 65세 이상 노인,12시,주3회,2020-01-01,,37.44570477,129.1685657,2020-08-03,4240000,강원도 삼척시
사랑해밥차,대구광역시 달서구 대명천로 28,대구광역시 달서구 성당동 202-41,(사)사랑해밥차,053-653-7770,두류공원 외,노인 및 취약계층,09:00-14:00,화+목+금,,,35.83907399,128.5561701,2020-07-08,3470000,대구광역시 달서구
어울림자원봉사센터,대구광역시 달서구 와룡로2길 42(본동),대구광역시 달서구 본동 1094-1,어울림자원봉사센터,053-628-8204,어울림자원봉사센터 내 식당,노인 및 취약계층,10:00-14:00,수+토,,,35.83391987,128.5400734,2020-07-08,3470000,대구광역시 달서구
나눔공동체우리집,대구광역시 달서구 월곡로26길 15-4(상인동),대구광역시 달서구 상인동 1202-1,나눔공동체우리집,053-631-0691,나눔공동체 우리집 내 식당,노인 및 취약계층,"10:30-17:00,12:00-13:00(일요일)",월+화+수+금+토+일,,,35.80882042,128.549408,2020-07-08,3470000,대구광역시 달서구
월성종합사회복지관,대구광역시 달서구 학산로7길 39(월성동),대구광역시 달서구 월성동 273,월성종합사회복지관,053-634-4113,월성종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30-12:30,월+화+수+목+금+토,,,35.83156785,128.5298746,2020-07-08,3470000,대구광역시 달서구
학산종합사회복지관,대구광역시 달서구 월성로 77(월성동),대구광역시 달서구 월성동 86,학산종합사회복지관,053-634-7230,학산종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30-12:30,월+화+수+목+금+토,,,35.83004237,128.528337,2020-07-08,3470000,대구광역시 달서구
본동종합사회복지관,대구광역시 달서구 송현로 113(송현동),대구광역시 달서구 송현동 977-2,본동종합사회복지관,053-636-5567,본동종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30-12:30,월+화+수+목+금(주중),,,35.82712717,128.5433255,2020-07-08,3470000,대구광역시 달서구
상인종합사회복지관,대구광역시 달서구 상화로 371(상인동),대구광역시 달서구 상인동 1563,상인종합사회복지관,053-641-1100,상인종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30-12:30,월+화+수+목+금(주중),,,35.80861844,128.5522442604,2020-07-08,3470000,대구광역시 달서구
성서종합사회복지관,대구광역시 달서구 신당로 56(신당동),대구광역시 달서구 신당동 1844,성서종합사회복지관,053-583-1284,성서종합사회복지관,복지관이 위치한 지역 내 만65세 이상 노인,11:30-12:30,월+화+수+목+금(주중),,,35.8523002070,128.4988252,2020-07-08,3470000,대구광역시 달서구
도초종합복지회관,전라남도 신안군 도초면 서남문로 1515-20,전라남도 신안군 도초면 수항리 1472,도초면자원봉사자회,061-240-3762,도초종합복지회관,"독거노인, 결식노인 등",중식(12:00-13:00),수,2018-01-01,2018-12-31,34.7044727224,125.954193745,2019-07-01,5010000,전라남도 신안군
비금봉사의집,전라남도 신안군 비금면 읍동길 29-6,전라남도 신안군 비금면 덕산리 87-1,비금면여성단체협의회,061-240-3733,비금봉사의집,"독거노인, 결식노인 등",중식(12:00-13:00),금,2018-01-01,2018-12-31,34.755397,125.926738,2019-07-01,5010000,전라남도 신안군
자은복지회관,전라남도 신안군 자은면 구영1길 8,전라남도 신안군 자은면 구영리 386-2,자은면자원봉사자회,061-240-3594,자은복지회관,"독거노인, 결식노인 등",중식(12:00-13:00),목,2018-01-01,2018-12-31,34.8843367,126.0474085,2019-07-01,5010000,전라남도 신안군
임자종합복지회관,전라남도 신안군 임자면 임자로 68,전라남도 신안군 임자면 진리 475-1,임자면여성단체협의회,061-240-3563,임자종합복지회관,"독거노인, 결식노인 등",중식(12:00-13:00),화,2018-01-01,2018-12-31,35.0833571266,126.1151437794,2019-07-01,5010000,전라남도 신안군
증도종합복지회관,전라남도 신안군 증도면 문중경길 199,전라남도 신안군 증도면 증동리 1735-1,증도면자원봉사자회,061-240-3543,증도종합복지회관,"독거노인, 결식노인 등",중식(12:00-13:00),화,2018-01-01,2018-12-31,35.0020778,126.1390882,2019-07-01,5010000,전라남도 신안군
방어진노인복지관,울산광역시 동구 꽃바위로 356,울산광역시 동구 방어동 125-1,방어진노인복지관,052-700-4135,방어진노인복지관,60세이상 독거노인 및 결식우려 노인,중식(12:00-13:00),월+화+수+목+금,2016-12-26,,35.48775711,129.4260207,2020-07-31,3710000,울산광역시 동구
